"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"H4,H2,H3,H1";"MountingHole_3mm_Pad_Via";4;"MountingHole";;;
2;"J2,J7";"39-28-1043";2;"39-28-1043";;;
3;"J9,J6,J11,J4,J3,J12,J10,J8,J13";"CONN_MBES-152_ALT";9;"MBES-152";;;
4;"PS1";"TEL151215N";1;"TEL_15-1215N";;;
5;"J1";"39-28-1243";1;"39-28-1243";;;
6;"J5";"2828373";1;"282837-3";;;
7;"C3,C4";"CAPC2012X145N";2;"CL21A226MAYNNNE";;;
8;"C1,C2";"CAPPM7343X310N";2;"100 uF";;;
